ID,titulo,titulo_completo,empresa,comentario_curto,comentario,link,data,cidade,local,problema
106316963,Demora para dar um retorno,Demora para dar um retorno,Grendene Calçados,",  eu comprei e como consumidora tenho os meus direitos, direitos esses que voces estão me enrolando desde fevereiro, quando se trata de uma troca onde o calçados...","Fiz um pedido de troca na Grendene de uma Melissa no dia 17/02 no é desde então a Grendene jogava pra Melissa, e a Melissa para a Grendene uma grande falta de respeito com o cliente!  Até que recebi em março o e-mail que meu produto tinha sido aceito para a troca ,fiz o envio do mesmo no dia 13/03  aí veio a enrolação,  no rastreio ja dava como produto recebido na fábrica, eu mandava email e era uma eternidade para receber um retorno, digamos quem em mês e mês eles são uma satisfação,  envia e-mail e todos sendo bloqueados, dia 05/de maio conseguir enviar um email e só tive resposta no dia 22/de maio , ate hoje estou esperando essa bendita dessa nova Melissa chegar, ja que a campana com 3 usada arrebentou , Grendene vamos ter mais respeitos com os clientes, não adianta voces mandar email falando que a fábrica nao está funcionando, sendo que tem outras pessoas comprando no site e voces estao fazendo o envio normal, eu não pedi nada para vocês,  eu comprei e como consumidora tenho os meus direitos, direitos esses que voces estão me enrolando desde fevereiro, quando se trata de uma troca onde o calçados de vocês vêm com uma mal qualidade voces destratam os clientes,  quando é compra a mercadoria chega primeiro! Quero uma resposta, quero a minha Melissa já que eu paguei por ela",https://www.reclameaqui.com.br/grendene-calcados/demora-para-dar-um-retorno_wOBfSAVNZ-vUvLRG/, 13/06/20 às 01h57,São Paulo, São Paulo - SP,0
106301903,Calçados ruins,Calçados ruins,Calçados West Coast,Adquiri um tenis west coast e com 43 dias ele descolou Quero trocar esse tenis,Adquiri um tenis west coast e com 43 dias ele descolou Quero trocar esse tenis,https://www.reclameaqui.com.br/calcados-west-coast/calcados-ruins_IGDNv2i1JGqOEEcI/, 12/06/20 às 18h33,Nhandeara, Nhandeara - SP,0
105562143,Material horrível e com e com problema.,Material horrível e com e com problema.,Netshoes,"!!!Fora que a NF,e de uma loja em São Paulo Cuja o nome e ishoes novavilar calçados.15 dias esperando o retorno e nada.Sem poder usar o tênis e pagando....","Fiz a compra de um tênis da marca FILA muito inferior ao mostrado no anúncio, O mesmo mancha com a própria tinta, após 10 dias de uso abriu todo no bico!!!Fora que a NF,e de uma loja em São Paulo Cuja o nome e ishoes novavilar calçados.15 dias esperando o retorno e nada.Sem poder usar o tênis e pagando.",https://www.reclameaqui.com.br/netshoes/material-horrivel-e-com-e-com-problema_Kd3woWyubC0ZY-Yr/, 02/06/20 às 09h28,Porto Alegre, Porto Alegre - RS,0
105229573,Péssima qualidade,Péssima qualidade,ADIDAS," bem, esperando o mesmo padrão de durabilidade veio a surpresa, com 2 meses começou a rasgar o tecido em cima do amortecedor, nos dois calçados. Continuo...","Comprei um Adidas Falcon pela netshoes para utilizar na academia, antes tive um nike que durou mais de 2 anos, utilizando também para exercícios físicos, pois bem, esperando o mesmo padrão de durabilidade veio a surpresa, com 2 meses começou a rasgar o tecido em cima do amortecedor, nos dois calçados. Continuo utilizando ele, mas com certeza não aguentará chegar nos 6 meses de uso. Nunca mais compro tênis de corrida desta marca!",https://www.reclameaqui.com.br/adidas/pessima-qualidade_dBZD8YRlPqeCcuEU/, 27/05/20 às 13h15,Cascavel, Cascavel - PR,0
105097761,Bota Feminino Coturno Vizzano,Bota Feminino Coturno Vizzano,Vizzano,", está horrível tenho vergonha de usar, em meses de uso ficou nesse estado, sempre usei calçados da Vizzano, pois sempre foram de boa qualidade, porém a bota deixou a desejar, aguardo um retorno, para que realizem ao meu um conserto...","OláComprei uma Bota Feminino Coturno Vizzano, e a mesma está em se descascando toda, começou pela parte que passa o cadarço, agora está em 70% da bota, está horrível tenho vergonha de usar, em meses de uso ficou nesse estado, sempre usei calçados da Vizzano, pois sempre foram de boa qualidade, porém a bota deixou a desejar, aguardo um retorno, para que realizem ao meu um conserto",https://www.reclameaqui.com.br/vizzano/bota-feminino-coturno-vizzano_DyoOjydmSHrnH3C4/, 25/05/20 às 17h55,Guarulhos, Guarulhos - SP,0
103721097,Cobranças indevidas aproveitando-se do COVID19,Cobranças indevidas aproveitando-se do COVID19,Credsystem Adm Cartões de...,Tive inúmeros problemas para conseguir a fatura de um produto comprado em Loja Física da Calçados Itapuã. Infelizmente transcorreu 20 dias e não consegui ainda...,"Tive inúmeros problemas para conseguir a fatura de um produto comprado em Loja Física da Calçados Itapuã. Infelizmente transcorreu 20 dias e não consegui ainda pagar a fatura. Desejo pagar a fatura e resolver a pendência com uma compra legítima que efetuei. Mas a empresa está dizendo que vai me negativar se eu não pagar um valor que é 40% (QUARENTA PORCENTO) maior do que o valor do produto comprado e isso é praticamente um ENRIQUECIMENTO ILÍCITO, sendo que tentei pagar também em alguma Loja fisica, mas não foi possível devido a essa terrível pandemia de coronavírus.Espero que a empresa seja sensata e me cobre o valor JUSTO.",https://www.reclameaqui.com.br/credsystem-adm-cartoes-de-credito/cobrancas-indevidas-aproveitando-se-do-covid19_AcGOdHxPuD9zZXO_/, 15/05/20 às 12h30,Vitória, Vitória - ES,0
104406955,Calças hering de mesmo numero na etiqueta com tamanhos ...,Calças hering de mesmo numero na etiqueta com tamanhos totalmente diferentes,Hering -  Loja Virtual," faz parte do controle de qualidade  e fabricação de produtos! Imagina comprar dois pares de calçados de uma marca, de mesmo modelo apenas com cores de diferentes...","Comprei 3 calças jeans tamanho 36 no site do outlet da hering, todas elas com tabela de medidas iguais (duas delas, inclusive são do mesmo modelo, apenas com cores diferentes), e pasmem! a diferença real de tamanho entre elas é gritante! Apenas 1 das calças me serviu, e no site não há mais disponibilidade das mesmas num numero maior! A hering como uma grande empresa e com um grande nome a zelar deveria estar mais atenta a padronagem de tamanho de seus produtos! Isso também faz parte do controle de qualidade  e fabricação de produtos! Imagina comprar dois pares de calçados de uma marca, de mesmo modelo apenas com cores de diferentes e um par servir e outro não! O que diriam? Como 3 calças tamanho 36 podem ter tamanhos tão diferentes? Estou me sentindo muito [Editado pelo Reclame Aqui] pois deixei de comprar calças parecidas de outras lojas por confiar na qualidade hering.",https://www.reclameaqui.com.br/hering-loja-virtual/calcas-hering-de-mesmo-numero-na-etiqueta-com-tamanhos-totalmente-diferente_2tOmxxLIoIt6hoBN/, 14/05/20 às 14h14,Curitiba, Curitiba - PR,0
104396889,Bota Santa Lolla com defeito de fábrica.,Bota Santa Lolla com defeito de fábrica.,Santa Lolla - Loja Física," calçados são todos bem cuidados, e aí você paga caro pra pôr no lixo;.Gostaria de um solução, que é muito evidente um defeito de fabricação. Esta é a...","Olá, sou consumidora Santa Lolla. Adoro a marca, mas minha bota descolou totalmente. Em abril do ano passado, comprei por pouco mais de R$ 400,00, hoje ela custa o mesmo preço. Utilizei algumas vezes no inverno passado, e fui pega-la hoje pra usar, estava totalmente descolada. Não vi antes, infelizmente e aí a loja que comprei não pôde fazer nada. Comprei um produto de qualidade, de couro, caro, de uma marca conceituada, para utilizar vários invernos e agora com algumas usadas vou ter que por no lixo. A bota está novíssima e descolada. Acho uma falta de respeito as lojas não resolverem e aí ter que vir aqui expor o caso. Meus calçados são todos bem cuidados, e aí você paga caro pra pôr no lixo;.Gostaria de um solução, que é muito evidente um defeito de fabricação. Esta é a bota:https://www.santalolla.com.br/bota-view-fivela-preto-11317/pEspero resposta.... muito obrigada !",https://www.reclameaqui.com.br/santa-lolla/bota-santa-lolla-com-defeito-de-fabrica_IF3m7G5HiJKMWxrc/, 14/05/20 às 12h22,Tubarão, Tubarão - SC,0
104351985,Tenis rachando o solado e descosturando em volta,Tenis rachando o solado e descosturando em volta,Santa Lolla - Loja Física," para comprar outro e mais um. Porém está ocorrendo o mesmo problema com os dois calçados descosturando e rachando .baixo no solando, tendo assim ter que parar p...","Olá boa tarde. Primeiramente gostaria de parabenizar a marca a qual uso a anos pois atende a minha numeração 33. Porém nas minhas últimas compras não fui bem sucedida. Fiz uma reclamação há um tempo atrás de um tênis quer estava descosturando em volta, me atenderá. Super bem , me devolveram o valor o qual utilizei para comprar outro e mais um. Porém está ocorrendo o mesmo problema com os dois calçados descosturando e rachando .baixo no solando, tendo assim ter que parar p uso por o mesmo aparenta que irar partir ao meio de tamo grande o rachado. Gostaria de um parecer da empresa. Desde já muito obrigada.Att Taiane",https://www.reclameaqui.com.br/santa-lolla/tenis-rachando-o-solado-e-descosturando-em-volta_XEGmDWUEVW8XA_Im/, 13/05/20 às 17h34,Cascavel, Cascavel - PR,0
104338557,Tênis casual desbotou o couro.,Tênis casual desbotou o couro.,Calçados Bottero,"Comprei um slip no da marca Bottero em uma loja de calçados na minha cidade e o mesmo desbotou o couro snake da parte da frente, ficando em dois tons de nude...","Comprei um slip no da marca Bottero em uma loja de calçados na minha cidade e o mesmo desbotou o couro snake da parte da frente, ficando em dois tons de nude.Amo a marca por ser calçados de couro. Tenho vários sapatos da marca, mas dessa vez eu fiquei decepcionada com o ocorrido.Espero que o meu problema seja resolvido. Desde já agradeço.",https://www.reclameaqui.com.br/calcados-bottero/tenis-casual-desbotou-o-couro_8QgSBW7rzgccAKQt/, 13/05/20 às 14h58,Campo Belo, Campo Belo - MG,0
104292701,Decepcionada,Decepcionada,Vizzano,"Ganhei a sandália, e a mesma Está toda descascando. Isso nunca me aconteceu antes nem com calçados sem marca. Não dá mais para usar o produto....","Ganhei a sandália, e a mesma Está toda descascando. Isso nunca me aconteceu antes nem com calçados sem marca. Não dá mais para usar o produto.",https://www.reclameaqui.com.br/vizzano/decepcionada_FzaxusRBzdR1c486/, 12/05/20 às 21h18,Ibaté, Ibaté - SP,0
104242937,Tênis rasgando em 6meses,Tênis rasgando em 6meses,Carioca Calçados,""" não Vai acontecer,vou ter que ir Ateh a loja pra ver se consigo alguma troca.Carioca calçados  sendo carioca calçados....","Olá,gostaria de deixar aqui minha reclamação a respeito de um tênis comprado a 6meses,ele começou a desfazer o tecido pelo lado de dentro, sempre usei new balance e nunca aconteceu isso,e esse que comprei na carioca a qualidade é horrível.Ligo para a loja e nunca atendem.Infelizmente o ""fique em casa"" não Vai acontecer,vou ter que ir Ateh a loja pra ver se consigo alguma troca.Carioca calçados  sendo carioca calçados.",https://www.reclameaqui.com.br/carioca-calcados/tenis-rasgando-em-6meses_BDLiNdC2KuCGq74u/, 12/05/20 às 11h29,São José, São José - SC,0
104160427,Tênis veio com má qualidade e ninguém responde minha te...,Tênis veio com má qualidade e ninguém responde minha tentativa de devolução,Ortopé,"Comprei alguns calçados no site da ortope...acontece que um tênis veio em condiçao ruim, sujo, a cola aparecendo. Tô tentando devolver mas já mandei dois email e ninguém me responde. Já faz uns 15 dias. O tel TB não atende...","Comprei alguns calçados no site da ortope...acontece que um tênis veio em condiçao ruim, sujo, a cola aparecendo. Tô tentando devolver mas já mandei dois email e ninguém me responde. Já faz uns 15 dias. O tel TB não atende",https://www.reclameaqui.com.br/ortope/tenis-veio-com-ma-qualidade-e-ninguem-responde-minha-tentativa-de-devolucao_ypAt4d6_392T7lMS/, 11/05/20 às 11h17,Divinópolis, Divinópolis - MG,0
104106219,Qualidade ruim,Qualidade ruim,Carmen Steffens - Loja Fí...," descolou todo eu mesma mandei para o sapateiro agora na última compra comprei 3 calçados e a sandália descolou toda, acho que deveriam avaliar melhor a qualidade do calçado....","Comprei uma sandália na loja do Outlet Contagem depois de usar a sandália 2 vezes ela descolou toda levei até no loja e mandaram para análise quando a sandália retornou tinham colado ela toda, ficou cheia de marca de cola tudo mal colada. Deveriam ter vergonha de mandar uma sandália assim se fosse pra colar e deixar ela toda feia eu colava em casa, tenho mais de 30 pares da marca e tenho notado que a qualidade tem caído e muito, comprei um sapato antes que durou 2 meses descolou todo eu mesma mandei para o sapateiro agora na última compra comprei 3 calçados e a sandália descolou toda, acho que deveriam avaliar melhor a qualidade do calçado.",https://www.reclameaqui.com.br/carmen-steffens-loja-fisica/qualidade-ruim_BqeEjao4QPBJG-WT/, 09/05/20 às 14h38,Contagem, Contagem - MG,0
104083461,Clonagem de Cartão,Clonagem de Cartão,Zattini,"Nunca realizo compras via aplicativo, contudo, realizei uma compra, pela primeira vez no aplicativo Zattini, de roupas e calçados, onde comprei um tênis e...","Nunca realizo compras via aplicativo, contudo, realizei uma compra, pela primeira vez no aplicativo Zattini, de roupas e calçados, onde comprei um tênis e realizei pagamento com cartão de crédito. Realizei a compra no dia 01/04/2020, contudo, no dia 03/05, 04/05, 05/05 e 06/05 do referido ano, apareceram valores em minha conta de transações que não realizei, de aplicativos como ifood e 99 pop (os quais também não utilizo), realizados na cidade de Osasco -São Paulo e São Paulo Capital. Fato muito estranho, vez que sou do Rio Grande do Sule não realizei viagem para o local, e a Zattini é de São Paulo.  Assim, a título de constatação, vez que os fatos batem, fica o alerta para quem for comprar no referido aplicado com cartão de crédito.",https://www.reclameaqui.com.br/zattini/clonagem-de-cartao_Gbr7vq7-VOMkwW3E/, 08/05/20 às 21h16,Caxias do Sul, Caxias do Sul - RS,0
103875725,Calçado descolando a sola toda 2parte,Calçado descolando a sola toda 2parte,Democrata Calçados,", apenas estou reclamando para deixar claro que o seu produto tem problemas na fabricação. Como disse anteriormente, sempre comprei sapatos da Democrata, calçados...","Boa tarde a todos Realizei uma reclamação desta empresa sobre um par de sapatos comprados e após um pequeno tempo de uso o sapato descolou inteiro.Me enviaram uma série de e-mails com a aparente impressão de resolver o problema mas enrolaram e me pediram para tirar a reclamação. Assim que tirei a reclamação o cenário novamente mudou onde eu deveria enviar o calçado para análise e reparo. Desculpe a empresa mas não estou pedindo esmola e nem um tipo de benefício, apenas estou reclamando para deixar claro que o seu produto tem problemas na fabricação. Como disse anteriormente, sempre comprei sapatos da Democrata, calçados que custam mais de R$200,00 e a minha reclamação é para que os compradores de seus produtos assim como eu não gaste o seu suado dinheiro em produtos de péssima qualidade.Outra coisa é o SAC desta empresa que não resolve nada apenas enrolam para que aparentemente resolvam o problema.Sou cliente dos sapatos Democrata a mais de 10 anos sempre muito satisfeito com os produtos da linha, porém este último par de sapatos comprados não seguiram o padrão de qualidade da empresa. A sola do sapato se soltou por inteiro com menos de dois meses de uso, me deixando muito em dúvida sobre uma nova aquisição da marca.#Muito insatisfeito Vanderlei",https://www.reclameaqui.com.br/democrata-calcados/calcado-descolando-a-sola-toda-2parte_W35-fRtcA3zHLXrr/, 05/05/20 às 18h36,Diadema, Diadema - SP,0
103853819,Tênis Branco solado de má qualidade,Tênis Branco solado de má qualidade,Calçados Bottero,"Sou fã dos calçados Bottero, tenho vários sapatos e sandálias .Adquiri um tênis em couro preto e não tenho do que reclamar , mas o branco foi uma...","Sou fã dos calçados Bottero, tenho vários sapatos e sandálias .Adquiri um tênis em couro preto e não tenho do que reclamar , mas o branco foi uma decepção ... Pedi de aniversário , porém usei umas 3 vezes e o solado está amarelo , por mais que eu limpe , parece encardido ... O mesmo está guardado sem uso ... O couro é muito bom, não tenho o que falar , mas o solado é de material bem ruim... Já que o material utilizado fica encardido assim, pq não fabricar em uma cor mel , ou alguma cor mais escura ??? ... Tô com vergonha de usa- lo assim... Meu tênis tem 1 mês de uso...",https://www.reclameaqui.com.br/calcados-bottero/tenis-branco-solado-de-ma-qualidade_pgWcfjJ6MiHXqdCe/, 05/05/20 às 14h06,São Gonçalo, São Gonçalo - RJ,0
103768763,Tênis com defeito,Tênis com defeito,Pimpolho," na boca e engolido a estrelinha do mar.Sempre compro calçados pimpolho prezando pelo conforto da minha filha, não acho justo ficar com um calçado usado 3...","Comprei um tênis Pimpolho para minha filha pelo site da Tricae e chegou dia 18/03. O tênis veio com umas manchas amarronzadas que não estavam conforme foto do site, além disso no primeiro dia de uso o pingente que vem no velcro soltou, achei até perigoso, imagine se eu não visse na hora, minha filha podia ter colocado na boca e engolido a estrelinha do mar.Sempre compro calçados pimpolho prezando pelo conforto da minha filha, não acho justo ficar com um calçado usado 3 vezes com defeito, nosso dinheiro é sacrificado para deixar passar, ter um tênis novo com aspecto de velho.",https://www.reclameaqui.com.br/pimpolho/tenis-com-defeito_AdlfdLE9ebK6S0rB/, 04/05/20 às 11h30,Conselheiro Lafaiete, Conselheiro Lafaiete - MG,0
